Player Name,MLS Club,Jersey Number,Position,Hometown: City,Hometown: State/Province,Hometown: Country,Age,Height (in.),Weight (lbs.)
Sebastian Blanco,Portland Timbers,10,Midfielder,Buenos Aires,,Argentina,32,"5' 7""",150
Sebastian Lletget,LA Galaxy,17,Midfielder,San Francisco,California,United States of America,28,"5' 10""",165
Sebastian Mendez,Orlando City SC,8,Midfielder,Mira,,Ecuador,23,"5' 11""",
Sebastien Ibeagha,New York City FC,33,Defender,Missouri City,Texas,United States of America,28,"6' 2""",187
Sergio Santos,Philadelphia Union,17,Forward,Belo Horizonte,,Brazil,26,"6' 0""",181
Seth Sinovic,New England Revolution,16,Defender,Leawood,Kansas,United States of America,33,"5' 10""",170
Shamit Shome,Montreal Impact,28,Midfielder,Edmonton,Alberta,Canada,23,"5' 9""",155
Shandon Hopeau,Seattle Sounders FC,37,Midfielder,Kapolei,Hawaii,United States of America,21,"5' 11""",162
Shane O'Neill,Seattle Sounders FC,27,Defender,Midleton,,Ireland,27,"6' 2""",190
Shea Salinas,San Jose Earthquakes,6,Defender,Grapevine,Texas,United States of America,34,"5' 10""",150
Siad Haji,San Jose Earthquakes,19,Midfielder,Manchester,New Hampshire,United States of America,20,"5' 8""",150
Simon Colyn,Vancouver Whitecaps FC,54,Midfielder,Langley,British Columbia,Canada,18,"5' 9""",145
Steeven Saba,Montreal Impact,19,Midfielder,Port-au-Prince,,Haiti,27,"5' 7""",165
Stefan Cleveland,Seattle Sounders FC,30,Goalkeeper,Dayton,Ohio,United States of America,26,"6' 2""",185
Stefan Frei,Seattle Sounders FC,24,Goalkeeper,Berkeley,California,United States of America,34,"6' 3""",195
Steve Clark,Portland Timbers,12,Goalkeeper,Mason,Michigan,United States of America,34,"6' 2""",192
Steven Beitashour,Colorado Rapids,,Defender,San Jose,California,United States of America,33,"5' 10""",170
Steven Birnbaum,D.C. United,15,Defender,Irvine,California,United States of America,29,"6' 2""",180
Tah Brian Anunga,Nashville SC,27,Midfielder,Yaounde,,Cameroon,24,"5' 11""",179
Tajon Buchanan,New England Revolution,17,Forward,Brampton,Ontario,Canada,21,"6' 0""",152
Tanner Beason,San Jose Earthquakes,15,Defender,Winston-Salem,North Carolina,United States of America,23,"6' 1""",175
Tanner Dieterich,Nashville SC,24,Midfielder,Nashville,Tennessee,United States of America,22,"6' 0""",170
Tanner Tessmann,FC Dallas,15,Midfielder,Hoover,Alabama,United States of America,19,"6' 2""",190
Tate Schmitt,Real Salt Lake,21,Forward,Phoenix,Arizona,United States of America,23,"5' 11""",161
Taylor Washington,Nashville SC,23,Defender,Somers,New York,United States of America,27,"5' 10""",174
Tayvon Gray,New York City FC,24,Defender,Bronx,New York,United States of America,18,"5' 11""",163
Teal Bunbury,New England Revolution,10,Midfielder/Forward,Prior Lake,Minnesota,United States of America,30,"6' 2""",185
Tesho Akindele,Orlando City SC,13,Forward,Thornton,Colorado,United States of America,28,"6' 1""",170
Theo Bair,Vancouver Whitecaps FC,14,Forward,Ottawa,Ontario,Canada,21,"6' 4""",215
Thiago Santos,FC Dallas,5,Midfielder,Sao Paulo,,Brazil,31,"5' 11""",167
Thomas Chacon,Minnesota United FC,11,Midfielder,Palmitas,,Uruguay,20,"5' 5""",128
Thomas Hasal,Vancouver Whitecaps FC,51,Goalkeeper,Saskatoon,Saskatchewan,Canada,21,"6' 3""",190
Thomas McNamara,New England Revolution,26,Midfielder,West Nyack,New York,United States of America,29,"5' 9""",170
Thomas Roberts,FC Dallas,23,Midfielder,Little Rock,Arkansas,United States of America,19,"5' 11""",150
Tim Melia,Sporting Kansas City,29,Goalkeeper,East Islip,New York,United States of America,34,"6' 1""",190
Tim Parker,New York Red Bulls,26,Defender,Hicksville,New York,United States of America,27,"6' 2""",195
Tom Barlow,New York Red Bulls,74,Forward,St. Louis,Missouri,United States of America,25,"6' 2""",185
