BOYS UNDER 19,2017,Challenger Crew Jrs Gold 98,OH-N,Ohio
BOYS UNDER 19,2018,Baltimore Celtic SC Christos,MD,Maryland
BOYS UNDER 19,2019,Lehigh Valley United 2000 Black,PA-E,Pennsylvania
GIRLS UNDER 19,1980,Sting,N-TX,Texas
GIRLS UNDER 19,1981,D'feeters Green,N-TX,Texas
GIRLS UNDER 19,1982,Sting,N-TX,Texas
GIRLS UNDER 19,1983,Saratoga Spirits,CA-N,California
GIRLS UNDER 19,1984,Braddock Road Blue Bells,VA,Virginia
GIRLS UNDER 19,1985,Sting,N-TX,Texas
GIRLS UNDER 19,1986,Massapequa Falcons,E-NY,New York
GIRLS UNDER 19,1987,Sting,N-TX,Texas
GIRLS UNDER 19,1988,Sting,N-TX,Texas
GIRLS UNDER 19,1989,Livonia Hawks,MI,Michigan
GIRLS UNDER 19,1990,Springfield Spirit,VA,Virginia
GIRLS UNDER 19,1991,J.B. Marine S.C.,MO,Missouri
GIRLS UNDER 19,1992,Texas Longhorns,N-TX,Texas
GIRLS UNDER 19,1993,Hammer F.C.,OH South
GIRLS UNDER 19,1994,Greater Boston Bolts,MA,Massachusetts
GIRLS UNDER 19,1995,Town N' Country Heather,FL,Florida
GIRLS UNDER 19,1996,North Huntington Beach FC 77,CA-S,California
GIRLS UNDER 19,1997,Ridgefield Yankee United Nova,CT,Connecticut
GIRLS UNDER 19,1998,Shamrocks,CA-S,California
GIRLS UNDER 19,1999,Cardinal Premier,OH S
GIRLS UNDER 19,2000,Colorado Rush Nike,CO,Colorado
GIRLS UNDER 19,2001,Colorado Rush Nike,CO,Colorado
GIRLS UNDER 19,2002,San Diego Surf White,CA-S,California
GIRLS UNDER 19,2003,Peachtree City Lazers,GA,Georgia
GIRLS UNDER 19,2004,Pleasanton Rage,CA-N,California
GIRLS UNDER 19,2005,Stars of Massachusets,MA,Massachusetts
GIRLS UNDER 19,2006,Colorado Rush Nike,CO,Colorado
GIRLS UNDER 19,2007,Carmel United Cyclones,IN,Indiana
GIRLS UNDER 19,2008,Force Football Club,MI,Michigan
GIRLS UNDER 19,2009,Colorado Rush Nike,CO,Colorado
GIRLS UNDER 19,2010,Lonestars 91 Red,S-TX,Texas
GIRLS UNDER 19,2011,Dallas Texans 92 Red Dallas,N-TX,Texas
GIRLS UNDER 19,2012,CCSC SOL,FL,Florida
GIRLS UNDER 19,2013,NASA 12 Elite II,GA,Georgia
GIRLS UNDER 19,2014,VSA Heat Blue,VA,Virginia
GIRLS UNDER 19,2015,Gretna Prima 95/96 Green,NE,Nebraska
GIRLS UNDER 19,2016,So Cal Blues Dodge,CA-S,California
GIRLS UNDER 19,2017,98 CR Academy,NC,North Carolina
GIRLS UNDER 19,2018,NSA Shock,IL,Illinois
GIRLS UNDER 19,2019,Celtic FC 00 Premier,UT,Utah
BOYS UNDER 18,1994,F.C. Portland Academy,OR,Oregon
BOYS UNDER 18,1995,Vardar III,MI,Michigan
BOYS UNDER 18,1996,Santos,AZ,Arizona
BOYS UNDER 18,1997,Columbia City United,MD,Maryland
BOYS UNDER 18,1998,AFC Lightning,GA,Georgia
BOYS UNDER 18,1999,FC United,WA,Washington
BOYS UNDER 18,2000,Scott Gallagher,MO,Missouri
BOYS UNDER 18,2001,Texans '82/83,S-TX,Texas
BOYS UNDER 18,2002,FC Delco Arsenal,Eastern PA
BOYS UNDER 18,2003,Michigan Wolves,MI,Michigan
BOYS UNDER 18,2004,Busch SC,MO,Missouri
BOYS UNDER 18,2005,Dallas Texans Red '87,N-TX,Texas
BOYS UNDER 18,2006,Dallas Texans 88 Red,N-TX,Texas
BOYS UNDER 18,2007,Terryville Fire,E-NY,New York
BOYS UNDER 18,2009,DSC 90 Green,SC,South Carolina
BOYS UNDER 18,2010,EastSide United FC 91 Liverpool,OR,Oregon
BOYS UNDER 18,2011,YMS Thunder,E-PA,Pennsylvania
BOYS UNDER 18,2012,Florida Rush Nike,FL,Florida
BOYS UNDER 18,2013,West Coast FC,CA-S,California
BOYS UNDER 18,2014,Santa Barbara FC White,CA-S,California
BOYS UNDER 18,2015,FC Golden State White,CA-S,California
BOYS UNDER 18,2016,Santa Barbara SC White,CA-S,California
BOYS UNDER 18,2017,BRYC 99 Elite,VA,Virginia
BOYS UNDER 18,2018,Baltimore Celtic SC 00,MD,Maryland
BOYS UNDER 18,2019,PPA KSA 01 Pro-Profile,GA,Georgia
GIRLS UNDER 18,1994,Fountain Valley Spirit,CA-S,California
GIRLS UNDER 18,1995,Raleigh Spartans,NC,North Carolina
GIRLS UNDER 18,1996,FC Royals,WA,Washington
GIRLS UNDER 18,1997,Sting '79,N-TX,Texas
GIRLS UNDER 18,1998,Central Valley Mercury,CA-N,California
GIRLS UNDER 18,1999,Northport/Cowharbor Piranha,E-NY,New York
GIRLS UNDER 18,2000,Colorado Rush Nike,CO,Colorado
GIRLS UNDER 18,2001,Michigan Hawks,MI,Michigan
GIRLS UNDER 18,2002,Colorado Girls Soccer Academy,Colo.
GIRLS UNDER 18,2003,Dallas Texans Red '85,N-TX,Texas
GIRLS UNDER 18,2004,Michigan Hawks,MI,Michigan
GIRLS UNDER 18,2005,Laguna Hills Eclipse,CA-S,California
GIRLS UNDER 18,2006,Dallas Texans Red 88 North,N-TX,Texas
GIRLS UNDER 18,2007,Bloomfield Force,MI,Michigan
GIRLS UNDER 18,2008,Colorado Rush,CO,Colorado
GIRLS UNDER 18,2009,FC Bucks Vipers,E-PA,Pennsylvania
GIRLS UNDER 18,2010,Laguna Hills Eclipse Select,CA-S,California
GIRLS UNDER 18,2011,FC Milwaukee,WI,Wisconsin
GIRLS UNDER 18,2012,FC Penn Strikers,PA-E,Pennsylvania
GIRLS UNDER 18,2013,Team Chicago Academy-Botafogo,IL,Illinois
GIRLS UNDER 18,2014,Beach FC Ingrassia,CA-S,California
GIRLS UNDER 18,2015,Carlsbad Elite,CA-S,California
GIRLS UNDER 18,2016,Tennessee SC 16,TN,Tennessee
GIRLS UNDER 18,2017,TSC Showcase,TN,Tennessee
GIRLS UNDER 18,2018,Sunrise Sting 2000,FL,Florida
GIRLS UNDER 18,2019,Premier Navy 2001,MD,Maryland
BOYS UNDER 17,1991,Northglenn Thunder,CO,Colorado
BOYS UNDER 17,1992,Alta Loma Arsenal,CA-S,California
BOYS UNDER 17,1993,Temple Terrace Spirit,FL,Florida
BOYS UNDER 17,1994,Club Ohio/Dynamo,OH-S,Ohio
BOYS UNDER 17,1995,California Flyers,CA-S,California
BOYS UNDER 17,1996,Columbia City United,MD,Maryland
BOYS UNDER 17,1997,Nomads,CA-S,California
BOYS UNDER 17,1998,FC Delco Dynamo,E-PA,Pennsylvania
BOYS UNDER 17,1999,Braddock Road Warhawks,VA,Virginia
BOYS UNDER 17,2000,West Babylon Panthers,E-NY,New York
BOYS UNDER 17,2001,Team Dayton,OH-S,Ohio
BOYS UNDER 17,2002,Irvine SC Strikers,CA-S,California
BOYS UNDER 17,2003,Chicago Magic SC,IL,Illinois
BOYS UNDER 17,2004,Scott Gallagher,MO,Missouri
BOYS UNDER 17,2005,Dallas Texans Red '88,N-TX,Texas
BOYS UNDER 17,2006,Arsenal FC,CA-S,California
BOYS UNDER 17,2007,Andromeda 90,N-TX,Texas
BOYS UNDER 17,2008,Andromeda 91,N-TX,Texas
BOYS UNDER 17,2009,CZ Elite,CA-S,California
BOYS UNDER 17,2010,Alpharetta Ambush 93 Red,GA,Georgia
BOYS UNDER 17,2011,Grand Rapids Crew Juniors,MI,Michigan
BOYS UNDER 17,2012,Galaxy 94/95 Blue,IL,Illinois
BOYS UNDER 17,2013,West Coast FC,CA-S,California
BOYS UNDER 17,2014,Manhattan SC PSG 96,NY-E,New York
BOYS UNDER 17,2015,Chicago Magic PSG Preacademy,IL,Illinois
BOYS UNDER 17,2016,Pipeline Black,MD,Maryland
BOYS UNDER 17,2017,Baltimore Celtic SC 2000,MD,Maryland
BOYS UNDER 17,2018,Galaxy 2001 Blue,IL,Illinois
BOYS UNDER 17,2019,Solar 02 Castro,N-TX,Texas
GIRLS UNDER 17,1991,Michigan Hawks,MI,Michigan
GIRLS UNDER 17,1992,Sparta,IL,Illinois
GIRLS UNDER 17,1993,Connecticut Omni,CT,Connecticut
GIRLS UNDER 17,1994,DeAnza Magic,CA-N,California
GIRLS UNDER 17,1995,Central Valley Express,CA-N,California
GIRLS UNDER 17,1996,FC Royals,WA,Washington
GIRLS UNDER 17,1997,Central Valley Mercury,CA-N,California
GIRLS UNDER 17,1998,Colorado Rush,CO,Colorado
GIRLS UNDER 17,1999,Colorado Rush,CO,Colorado
GIRLS UNDER 17,2000,San Diego Surf,CA-S,California
GIRLS UNDER 17,2001,Bethesda Fury,MD,Maryland
GIRLS UNDER 17,2002,Pleasanton Rage,CA-N,California
GIRLS UNDER 17,2003,Sereno '86 Golden Eagles,AZ,Arizona
GIRLS UNDER 17,2004,So Cal United,CA-S,California
GIRLS UNDER 17,2005,Eclipse Select,IL,Illinois
GIRLS UNDER 17,2006,Eclipse Select,IL,Illinois
GIRLS UNDER 17,2007,Eagles SC,CA-S,California
GIRLS UNDER 17,2008,Dallas Texans 91 Red,N-TX,Texas
GIRLS UNDER 17,2009,Eclipse Select 91-92,IL,Illinois
GIRLS UNDER 17,2010,So Cal Blues Dodge,CA-S,California
GIRLS UNDER 17,2011,NSA Premier Fury,IL,Illinois
GIRLS UNDER 17,2012,VSA Heat Blue,VA,Virginia
GIRLS UNDER 17,2013,Cleveland United White,OH-N,Ohio
GIRLS UNDER 17,2014,DMCV Sharks Elite,CA-S,California
GIRLS UNDER 17,2015,Tampa Bay United 97 Premier,FL,Florida
GIRLS UNDER 17,2016,YMS Premier Xplosion 98,E-PA,Pennsylvania
GIRLS UNDER 17,2017,CUP 00 Gold,OH-S,Ohio
GIRLS UNDER 17,2018,Rebels 2001 Elite,CA-S,California
GIRLS UNDER 17,2019,Cleveland FC 02,OH-N,Ohio
BOYS UNDER 16,1981,Montgomery United Ponies,MD,Maryland
BOYS UNDER 16,1982,Columbia Kick,MD,Maryland
BOYS UNDER 16,1984,Vista Red Hawks,VA,Virginia
BOYS UNDER 16,1987,Columbia City United,MD,Maryland
BOYS UNDER 16,1988,Busch Soccer Club,MO,Missouri
BOYS UNDER 16,1989,Busch Soccer Club,MO,Missouri
BOYS UNDER 16,1990,Livonia Metro Magic Wolves,MI,Michigan
BOYS UNDER 16,1991,F.C. Delco Demons,E-PA,Pennsylvania
BOYS UNDER 16,1992,NHBFC Black,CA-S,California
BOYS UNDER 16,1993,Vardar III,MI,Michigan
BOYS UNDER 16,1994,Texans,S-TX,Texas
BOYS UNDER 16,1995,Chicago Soccers,IL,Illinois
BOYS UNDER 16,1996,Nomads SC,CA-S,California
BOYS UNDER 16,1997,Javanon '81,KY,Kentucky
BOYS UNDER 16,1998,Vardar III,MI,Michigan
BOYS UNDER 16,1999,Chicago Magic,IL,Illinois
BOYS UNDER 16,2000,FC Westchester,E-NY,New York
BOYS UNDER 16,2001,Sockers FC,IL,Illinois
BOYS UNDER 16,2002,Atlanta Fire,GA,Georgia
BOYS UNDER 16,2003,Southern California United,CA-S,California
BOYS UNDER 16,2004,Casa Mia Bays,MD,Maryland
